Number of elements,SS,SC,SR,IS,IC,IR,QS,QC,QR
10000,0:00:03.452429,0:00:02.361607,0:00:05.111574,0:00:00.001995,00:00:00,0:00:04.796828,0:00:00.018955,N/A,0:00:00.046865
20000,0:00:14.075634,0:00:13.578764,0:00:17.949581,0:00:00.002991,0:00:00.015621,0:00:19.344745,0:00:00.036911,N/A,0:00:00.062484
30000,0:00:29.492556,0:00:27.926033,0:00:52.872940,0:00:00.003957,0:00:00.015623,0:00:49.422836,0:00:00.140592,N/A,0:00:00.062487
40000,0:00:51.534278,0:00:50.166361,0:01:32.031272,0:00:00.015621,0:00:00.015621,0:01:19.754126,0:00:00.203076,N/A,0:00:00.156213
50000,0:01:19.303204,0:01:17.576482,0:02:26.171309,00:00:00,00:00:00,0:02:18.208202,0:00:00.172106,N/A,0:00:00.187455
60000,0:01:54.989561,0:01:54.025863,0:03:32.308107,0:00:00.015621,0:00:00.031241,0:03:12.975336,0:00:00.171834,N/A,0:00:00.218368
70000,0:02:37.272483,0:02:31.242580,0:04:42.910017,00:00:00,0:00:00.015622,0:04:45.427655,0:00:00.187455,N/A,0:00:00.249941
80000,0:03:33.142269,0:03:22.891619,0:06:50.282231,0:00:00.015622,0:00:00.031243,0:06:14.025323,0:00:00.249942,N/A,0:00:00.281184
90000,0:04:33.403287,0:04:55.748776,0:10:26.596889,0:00:00.015622,0:00:00.031245,0:07:21.483132,0:00:00.297074,N/A,0:00:00.297072
100000,0:05:49.278302,0:05:19.586964,0:13:02.230891,0:00:00.016676,0:00:00.031242,0:09:59.855181,0:00:00.468640,N/A,0:00:00.296804
500000,2:31:20.592344,2:29:49.414560,5:40:13.200979,0:00:00.109349,0:00:00.109349,4:28:24.066135,0:00:01.797098,N/A,0:00:02.015700
1000000,9:35:54.601319,9:34:27.652637,15:32:06.858638,0:00:00.187456,0:00:00.281183,17:47:26.593004,0:00:03.510723,N/A,0:00:04.671380
10000000,N/A,N/A,N/A,0:00:01.897534,0:00:02.391379,N/A,0:00:49.018519,N/A,0:01:03.037933
100000000,N/A,N/A,N/A,0:00:18.575299,0:00:23.815414,N/A,0:08:39.806680,N/A,0:17:42.562546
1000000000,N/A,N/A,N/A,0:04:59.586498,0:03:35.930854,N/A,1:08:20.997106,N/A,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Key,,,,,,,,,
SS,Selection sort with sorted data,,,,,,,,
SC,Selection sort with constant data,,,,,,,,
SR,Selection sort with random data,,,,,,,,
IS,Insertion sort with sorted data,,,,,,,,
IC,Insertion sort with constant data,,,,,,,,
IR,Insertion sort with random data,,,,,,,,
QS,Quicksort with sorted data,,,,,,,,
QC,Quicksort with constant data,,,,,,,,
QR,Quicksort with random data,,,,,,,,
